beta,#areas,#firing_areas,#firings_in_assoc,avg_pairwise_assoc_overlap,total_assoc_overlap,overlap_with_ass_interest_after_1_firing,#firings_till_convergence,overlap_with_ass_interest_upon_convergence,max_overlap_with_ass_interest
0.1,5.0,1.0,0.0,0.18296529968454261,0.0,0.6182965299684543,5.0,0.7823343848580442,0.7823343848580442
0.1,5.0,2.0,0.0,0.18296529968454261,0.0,0.7602523659305994,4.0,0.7728706624605678,0.7760252365930599
0.1,5.0,3.0,0.0,0.18296529968454261,0.0,0.4668769716088328,4.0,0.7823343848580442,0.7823343848580442
0.1,5.0,4.0,0.0,0.18296529968454261,0.0,0.5520504731861199,4.0,0.7823343848580442,0.7823343848580442
0.1,5.0,1.0,1.0,0.1861198738170347,0.0,0.6529968454258676,4.0,0.7476340694006309,0.7476340694006309
0.1,5.0,2.0,1.0,0.1861198738170347,0.0,0.6498422712933754,3.0,0.7350157728706624,0.7350157728706624
0.1,5.0,3.0,1.0,0.1861198738170347,0.0,0.41324921135646686,4.0,0.7444794952681388,0.7444794952681388
0.1,5.0,4.0,1.0,0.1861198738170347,0.0,0.5205047318611987,6.0,0.7444794952681388,0.7444794952681388
0.1,5.0,1.0,3.0,0.18611987381703468,0.0,0.6498422712933754,4.0,0.7350157728706624,0.7413249211356467
0.1,5.0,2.0,3.0,0.18611987381703468,0.0,0.637223974763407,4.0,0.7318611987381703,0.7318611987381703
0.1,5.0,3.0,3.0,0.18611987381703468,0.0,0.416403785488959,8.0,0.7350157728706624,0.7381703470031545
0.1,5.0,4.0,3.0,0.18611987381703468,0.0,0.4921135646687697,6.0,0.7318611987381703,0.7318611987381703
0.1,5.0,1.0,5.0,0.17823343848580442,0.0031545741324921135,0.6309148264984227,4.0,0.7350157728706624,0.7350157728706624
0.1,5.0,2.0,5.0,0.17823343848580442,0.0031545741324921135,0.6624605678233438,7.0,0.7476340694006309,0.7476340694006309
0.1,5.0,3.0,5.0,0.17823343848580442,0.0031545741324921135,0.4416403785488959,8.0,0.7444794952681388,0.7444794952681388
0.1,5.0,4.0,5.0,0.17823343848580442,0.0031545741324921135,0.5205047318611987,5.0,0.7476340694006309,0.7476340694006309
0.1,6.0,1.0,0.0,0.18170347003154572,0.0,0.6561514195583596,4.0,0.8170347003154574,0.8201892744479495
0.1,6.0,2.0,0.0,0.18170347003154572,0.0,0.7602523659305994,4.0,0.8170347003154574,0.8201892744479495
0.1,6.0,3.0,0.0,0.18170347003154572,0.0,0.7539432176656151,3.0,0.8138801261829653,0.8138801261829653
0.1,6.0,4.0,0.0,0.18170347003154572,0.0,0.4921135646687697,4.0,0.8170347003154574,0.8170347003154574
0.1,6.0,5.0,0.0,0.18170347003154572,0.0,0.6246056782334385,4.0,0.8138801261829653,0.8170347003154574
0.1,6.0,1.0,1.0,0.1804416403785489,0.0,0.6466876971608833,6.0,0.7791798107255521,0.7823343848580442
0.1,6.0,2.0,1.0,0.1804416403785489,0.0,0.7003154574132492,5.0,0.7791798107255521,0.7854889589905363
0.1,6.0,3.0,1.0,0.1804416403785489,0.0,0.38170347003154576,4.0,0.7760252365930599,0.7760252365930599
0.1,6.0,4.0,1.0,0.1804416403785489,0.0,0.45741324921135645,6.0,0.7760252365930599,0.7791798107255521
0.1,6.0,5.0,1.0,0.1804416403785489,0.0,0.61198738170347,5.0,0.7791798107255521,0.7791798107255521
0.1,6.0,1.0,3.0,0.19432176656151418,0.0,0.7129337539432177,4.0,0.7665615141955836,0.7697160883280757
0.1,6.0,2.0,3.0,0.19432176656151418,0.0,0.7350157728706624,3.0,0.7665615141955836,0.7665615141955836
0.1,6.0,3.0,3.0,0.19432176656151418,0.0,0.4952681388012618,4.0,0.7634069400630915,0.7791798107255521
0.1,6.0,4.0,3.0,0.19432176656151418,0.0,0.5110410094637224,5.0,0.7634069400630915,0.7665615141955836
0.1,6.0,5.0,3.0,0.19432176656151418,0.0,0.6529968454258676,3.0,0.7665615141955836,0.7665615141955836
0.1,6.0,1.0,5.0,0.1829652996845426,0.0,0.722397476340694,4.0,0.7917981072555205,0.7917981072555205
0.1,6.0,2.0,5.0,0.1829652996845426,0.0,0.7760252365930599,5.0,0.7917981072555205,0.7917981072555205
0.1,6.0,3.0,5.0,0.1829652996845426,0.0,0.5772870662460567,4.0,0.7917981072555205,0.7917981072555205
0.1,6.0,4.0,5.0,0.1829652996845426,0.0,0.583596214511041,5.0,0.7917981072555205,0.7917981072555205
0.1,6.0,5.0,5.0,0.1829652996845426,0.0,0.7066246056782335,3.0,0.7917981072555205,0.7917981072555205
