beta,#areas,#firing_areas,#firings_in_assoc,avg_pairwise_assoc_overlap,total_assoc_overlap,overlap_with_ass_interest_after_1_firing,#firings_till_convergence,overlap_with_ass_interest_upon_convergence,max_overlap_with_ass_interest
0.4,4.0,1.0,0.0,0.9652996845425866,0.8958990536277602,1.0,2.0,1.0,1.0
0.4,4.0,2.0,0.0,0.9652996845425866,0.8958990536277602,1.0,2.0,1.0,1.0
0.4,4.0,3.0,0.0,0.9652996845425866,0.8958990536277602,1.0,2.0,1.0,1.0
0.4,4.0,1.0,1.0,0.9957939011566772,0.9873817034700315,1.0,2.0,1.0,1.0
0.4,4.0,2.0,1.0,0.9957939011566772,0.9873817034700315,1.0,2.0,1.0,1.0
0.4,4.0,3.0,1.0,0.9957939011566772,0.9873817034700315,1.0,2.0,1.0,1.0
0.4,4.0,1.0,3.0,0.6813880126182964,0.04416403785488959,1.0,2.0,1.0,1.0
0.4,4.0,2.0,3.0,0.6813880126182964,0.04416403785488959,1.0,2.0,1.0,1.0
0.4,4.0,3.0,3.0,0.6813880126182964,0.04416403785488959,1.0,2.0,1.0,1.0
0.4,4.0,1.0,5.0,0.9968454258675079,0.9905362776025236,1.0,2.0,1.0,1.0
0.4,4.0,2.0,5.0,0.9968454258675079,0.9905362776025236,1.0,2.0,1.0,1.0
0.4,4.0,3.0,5.0,0.9968454258675079,0.9905362776025236,1.0,2.0,1.0,1.0
0.3,4.0,1.0,0.0,0.24079915878023136,0.012618296529968454,0.7413249211356467,6.0,0.9053627760252366,0.9053627760252366
0.3,4.0,2.0,0.0,0.24079915878023136,0.012618296529968454,0.8012618296529969,7.0,0.9053627760252366,0.9053627760252366
0.3,4.0,3.0,0.0,0.24079915878023136,0.012618296529968454,0.8548895899053628,11.0,0.9053627760252366,0.9053627760252366
0.3,4.0,1.0,1.0,0.277602523659306,0.012618296529968454,0.7066246056782335,4.0,0.9968454258675079,0.9968454258675079
0.3,4.0,2.0,1.0,0.277602523659306,0.012618296529968454,0.9116719242902208,3.0,0.9968454258675079,0.9968454258675079
0.3,4.0,3.0,1.0,0.277602523659306,0.012618296529968454,0.9842271293375394,3.0,0.9968454258675079,0.9968454258675079
0.3,4.0,1.0,3.0,0.18506834910620398,0.0,0.5741324921135647,4.0,0.6182965299684543,0.6182965299684543
0.3,4.0,2.0,3.0,0.18506834910620398,0.0,0.4605678233438486,7.0,0.6151419558359621,0.6151419558359621
0.3,4.0,3.0,3.0,0.18506834910620398,0.0,0.38801261829652994,4.0,0.6277602523659306,0.6277602523659306
